# 新世纪五笔码表
# 来源：https://github.com/g178253/rime-wubi06/blob/master/wubi06.dict.yaml
# 许可：Apache License 2.0。
工	a
戈	a
式	aa
工	aaa
㠭	aaaa
工	aaaa
㐂	aaab
葡萄牙	aaah
花花世界	aaal
工艺	aaan
工匠	aaar
工薪	aaau
菚	aaau
劳苦功高	aaay
草草了事	aabg
工薪阶层	aabn
茕茕孑立	aabu
戒除	aabw
匿	aad
匞	aad
工友	aadc
蘛	aade
工厂	aadg
藄	aadi
䘌	aadj
匿	aadk
慝	aadn
葚	aadn
工矿	aado
落荒而逃	aadq
䔮	aadr
茙	aadr
攻其不备	aadt
荦荦大端	aadu
恭敬不如从命	aadw
萁	aadw
落落大方	aady
花花肠子	aaeb
勤工助学	aaei
工力	aaen
工地	aafb
工运	aafc
苷	aaff
蓬蓬勃勃	aaff
葡萄干	aafg
工场	aafn
攻其无备	aaft
工夫	aafw
甙	aafy
甘苦与共	aaga
䒰	aagf
工整	aagk
戒严	aago
勤劳致富	aagp
戒毒	aagx
芽	aah
䓉	aahb
菣	aahc
工卡	aahg
茝	aahh
茞	aahh
藍	aahl
藖	aahm
芽	aaht
工具	aahw
虦	aahw
蕥	aahy
莘莘学子	aaib
卧薪尝胆	aaie
区区小事	aaig
落花流水	aaii
工党	aaip
葡萄酒	aais
工艺流程	aait
黄花晚节	aaja
工时	aajf
剗	aajh
蒸蒸日上	aajh
工日	aajj
工蜂	aajt
工蚁	aajy
戒	aak
蓳	aakg
工艺品	aakk
蓲	aakk
䕚	aakm
䖄	aako
䕿	aako
蘜	aako
䕼	aaky
盞	aalf
工贼	aama
蘳	aamf
蘣	aamg
䔈	aamu
节节败退	aamv
芍药居	aand
菩萨心肠	aane
苣	aanf
草草收兵	aanr
葉	aans
戒心	aany
葵花籽	aaob
工序	aaoc
工业	aaog
戒烟	aaol
葡萄糖	aaoo
工料	aaou
工农	aape
切切实实	aapp
落落寡合	aapw
苉	aaqb
茫茫然	aaqd
工钱	aaqf
蔕	aaqh
匿名	aaqk
工包	aaqn
工贸	aaqy
工兵	aarg
戒掉	aarh
芭蕾舞	aarl
熙熙攘攘	aarr
戒指	aarx
工棚	aase
工本	aasg
七巧板	aasr
花草树木	aass
莲花桥	aast
式样	aasu
蒲黄榆	aasw
工长	aata
蓬荜生辉	aati
工程	aatk
戒备	aatl
蘙	aatn
荛	aatq
工笔	aatt
工科	aatu
莫斯科	aatu
戒律	aatv
戔	aau
工头	aaud
工装	aauf
工资	aauq
欺世盗名	aauq
工艺美术	aaus
黄花闺女	aauv
苆	aavr
勤勤恳恳	aavv
花花公子	aawb
工段	aawd
匶	aawe
工会	aawf
勤工俭学	aawi
劳燕分飞	aawn
工体	aaws
工作	aawt
茹苦含辛	aawu
蒆	aawv
工分	aawv
草菅人命	aaww
莁	aaww
茿	aawy
警戒线	aaxf
医药费	aaxj
花花绿绿	aaxx
式	aay
工读	aayf
苦苦哀求	aayg
式	aayi
芭蕉扇	aayn
匿迹	aayo
花落谁家	aayp
芅	aayu
工商	aayu
节	ab
节节	abab
若隐若现	abag
若隐若显	abaj
节能	abce
藂	abci
萾	abcl
菆	abcu
䔺	abde
节奏	abdw
荫	abe
荫	abef
蘟	aben
蒸腾	abeu
芓	abf
茸	abf
节支	abfc
落子无悔	abfn
䔖	abft
蔯	abgi
节烈	abgq
邛	abh
卭	abh
匩	abhg
节目	abhh
节点	abhk
蒸	abi
菡	abib
䒱	abig
节水	abii
䕄	abil
节油	abim
蒸	abio
蒸汽	abir
节省	abit
荪	abiu
节流	abiy
节	abj
节日	abjj
节电	abjn
䓧	abkg
藬	abkm
莻	abkx
䓝	ablf
节略	ablt
茁	abm
䔴	abmc
䔜	abmf
茁	abmj
芤	abnb
蒸发	abnt
节煤	aboa
荫庇	abox
蔽聪塞明	abpj
蒸馏	abqn
艿	abr
节后	abrg
㧭	abrj
节操	abrk
节制	abrm
节气	abrn
节拍	abrr
菰	abry
蒸笼	abtd
节选	abtf
蕯	abtg
蓀	abti
㲨	abtn
䕖	abtp
节律	abtv
萨	abu
节减	abud
节前	abue
䔹	abue
茁壮	abuf
薩	abug
䔒	abuk
萨	abut
荫凉	abuy
蘵	abuy
匜	abv
节录	abvi
蔭	abwc
䕃	abwc
节余	abwg
节假	abwn
蒢	abws
节俭	abww
节食	abwy
节约	abxq
节育	abyc
巧取豪夺	abyd
蒸熟	abyk
节哀	abyk
芨	abyu
芭	ac
茎	aca
芭蕾	acaf
茎	acaf
鞍马劳顿	acag
茅草	acaj
䒪	acaj
匥	acak
戒骄戒躁	acak
苔藓	acaq
芭蕉	acaw
芭	acb
蔘	acce
茅台	acck
茅厕	acdm
蓪	acep
茅坑	acfy
莫予毒也	acgb
㦯	acgd
戎马一生	acgt
苔	ack
苔	ackf
䕂	ackp
葈	acks
雅马哈	ackw
䓿	aclf
茅	acn
蓩	acne
茅屋	acng
芧	acnh
蕷	acnm
蓣	acnm
鶜	acno
葇	acns
䓮	acnt
